# {"t_start": 1745261993.7392704, "env_id": "FetchPickAndPlace-v1"} 
r,l,t
-50.0,50,1.091957
-50.0,50,2.715976
-50.0,50,3.716039
-50.0,50,4.775236
-50.0,50,5.862475
0.0,50,6.888687
-50.0,50,8.035977
-50.0,50,9.422115
-50.0,50,10.995377
-50.0,50,12.461138
-50.0,50,15.678904
-50.0,50,15.904626
-50.0,50,16.062193
-50.0,50,16.322393
-50.0,50,16.591817
-50.0,50,16.74767
-50.0,50,17.0075
-50.0,50,17.243458
-50.0,50,17.449722
-50.0,50,17.697633
-50.0,50,17.884459
-50.0,50,19.67147
-50.0,50,21.340612
-50.0,50,23.575356
-50.0,50,24.850912
-50.0,50,26.318978
